INFO   | jvm 1    | 2015/03/21 18:41:30 | Caused by: java.io.FileNotFoundException: null/logs/daemon-khaled-Lenovo-Z50-70.log (No such file or directory)
INFO   | jvm 1    | 2015/03/21 18:41:30 | 	at java.io.FileOutputStream.openAppend(Native Method)
INFO   | jvm 1    | 2015/03/21 18:41:30 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:210)
INFO   | jvm 1    | 2015/03/21 18:41:30 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:131)
INFO   | jvm 1    | 2015/03/21 18:41:30 | 	at org.apache.log4j.FileAppender.setFile(FileAppender.java:282)
INFO   | jvm 1    | 2015/03/21 18:41:30 | 	at org.apache.log4j.FileAppender.<init>(FileAppender.java:106)
INFO   | jvm 1    | 2015/03/21 18:41:30 | 	at org.apache.log4j.DailyRollingFileAppender.<init>(DailyRollingFileAppender.java:195)
INFO   | jvm 1    | 2015/03/21 18:41:30 | 	at runtime.daemon.MPJDaemon.createLogger(MPJDaemon.java:506)
INFO   | jvm 1    | 2015/03/21 18:41:30 | 	... 8 more
INFO   | jvm 1    | 2015/03/21 18:41:30 | WrapperSimpleApp: main method completed
INFO   | jvm 1    | 2015/03/21 18:41:30 | WrapperSimpleApp: start(args) end.  Main Completed=true, exitCode=null
INFO   | jvm 1    | 2015/03/21 18:41:30 | WrapperListener.start runner thread stopped.
INFO   | jvm 1    | 2015/03/21 18:41:30 | returned from WrapperListener.start()
INFO   | jvm 1    | 2015/03/21 18:41:30 | Send a packet STARTED : 
INFO   | jvm 1    | 2015/03/21 18:41:30 | Startup runner thread stopped.
INFO   | jvm 1    | 2015/03/21 18:41:30 | Wrapper Manager: ShutdownHook started
INFO   | jvm 1    | 2015/03/21 18:41:30 | WrapperManager.stop(0) called by thread: Wrapper-Shutdown-Hook
INFO   | jvm 1    | 2015/03/21 18:41:30 | Send a packet STOP : 0
DEBUG  | wrapperp | 2015/03/21 18:41:30 | read a packet STARTED : 
DEBUG  | wrapper  | 2015/03/21 18:41:30 | JVM signalled that it was started.
DEBUG  | wrapperp | 2015/03/21 18:41:30 | read a packet STOP : 0
DEBUG  | wrapper  | 2015/03/21 18:41:30 | JVM requested a shutdown. (0)
DEBUG  | wrapper  | 2015/03/21 18:41:30 | wrapperStopProcess(0) called.
DEBUG  | wrapper  | 2015/03/21 18:41:30 | Sending stop signal to JVM
DEBUG  | wrapperp | 2015/03/21 18:41:30 | send a packet STOP : NULL
INFO   | jvm 1    | 2015/03/21 18:41:30 | Received a packet STOP : 
INFO   | jvm 1    | 2015/03/21 18:41:31 | Thread, Wrapper-Shutdown-Hook, handling the shutdown process.
INFO   | jvm 1    | 2015/03/21 18:41:31 | calling listener.stop()
INFO   | jvm 1    | 2015/03/21 18:41:31 | WrapperSimpleApp: stop(0)
INFO   | jvm 1    | 2015/03/21 18:41:31 | returned from listener.stop() -> 0
INFO   | jvm 1    | 2015/03/21 18:41:31 | shutdownJVM(0) Thread:Wrapper-Shutdown-Hook
INFO   | jvm 1    | 2015/03/21 18:41:31 | Send a packet STOPPED : 0
DEBUG  | wrapperp | 2015/03/21 18:41:31 | read a packet STOPPED : 0
DEBUG  | wrapper  | 2015/03/21 18:41:31 | JVM signalled that it was stopped.
INFO   | jvm 1    | 2015/03/21 18:41:31 | Closing socket.
DEBUG  | wrapperp | 2015/03/21 18:41:31 | socket read no code (closed?).
DEBUG  | wrapperp | 2015/03/21 18:41:31 | server listening on port 32001.
DEBUG  | wrapper  | 2015/03/21 18:41:32 | JVM exited normally.
DEBUG  | wrapper  | 2015/03/21 18:41:32 | Signal trapped.  Details:
DEBUG  | wrapper  | 2015/03/21 18:41:32 |   signal number=17 (SIGCHLD), source="unknown"
DEBUG  | wrapper  | 2015/03/21 18:41:32 | Received SIGCHLD, checking JVM process status.
DEBUG  | wrapper  | 2015/03/21 18:41:32 | JVM process exited with a code of 0, leaving the wrapper exit code set to 0.
